denomination,microprint_score,security_thread_score,uv_score,label
100,0.199,0.369,0.184,counterfeit
2000,0.953,0.84,0.911,genuine
500,0.885,0.776,0.712,genuine
200,0.111,0.398,0.136,counterfeit
100,0.845,0.802,0.687,genuine
100,0.833,0.779,0.964,genuine
500,0.151,0.374,0.198,counterfeit
200,0.705,0.967,0.695,genuine
500,0.758,0.855,0.928,genuine
500,0.355,0.491,0.234,counterfeit
500,0.774,0.852,0.692,genuine
500,0.964,0.873,0.954,genuine
200,0.242,0.308,0.441,counterfeit
500,0.913,0.945,0.673,genuine
200,0.958,0.9,0.686,genuine
200,0.443,0.223,0.421,counterfeit
200,0.824,0.872,0.944,genuine
100,0.828,0.786,0.978,genuine
500,0.389,0.218,0.251,counterfeit
200,0.862,0.82,0.939,genuine
100,0.704,0.927,0.92,genuine
100,0.17,0.398,0.111,counterfeit
200,0.797,0.87,0.887,genuine
2000,0.841,0.837,0.918,genuine
200,0.23,0.164,0.467,counterfeit
100,0.766,0.968,0.975,genuine
2000,0.921,0.869,0.87,genuine
200,0.171,0.245,0.458,counterfeit
100,0.916,0.874,0.708,genuine
500,0.896,0.7,0.864,genuine
100,0.39,0.195,0.181,counterfeit
2000,0.788,0.848,0.916,genuine
200,0.793,0.88,0.806,genuine
200,0.17,0.219,0.232,counterfeit
100,0.864,0.74,0.826,genuine
100,0.75,0.965,0.784,genuine
100,0.156,0.394,0.168,counterfeit
100,0.805,0.788,0.936,genuine
2000,0.945,0.943,0.661,genuine
200,0.381,0.221,0.11,counterfeit
200,0.705,0.737,0.675,genuine
500,0.883,0.948,0.977,genuine
500,0.376,0.369,0.313,counterfeit
200,0.973,0.706,0.651,genuine
2000,0.917,0.779,0.769,genuine
200,0.163,0.335,0.188,counterfeit
500,0.93,0.952,0.664,genuine
2000,0.908,0.773,0.956,genuine
100,0.324,0.408,0.479,counterfeit
500,0.906,0.843,0.837,genuine
200,0.889,0.922,0.694,genuine
100,0.383,0.126,0.43,counterfeit
200,0.769,0.865,0.713,genuine
500,0.953,0.819,0.663,genuine
100,0.335,0.255,0.398,counterfeit
500,0.935,0.901,0.655,genuine
100,0.929,0.818,0.952,genuine
500,0.205,0.351,0.407,counterfeit
500,0.969,0.703,0.735,genuine
2000,0.784,0.932,0.668,genuine
200,0.375,0.49,0.326,counterfeit
500,0.977,0.961,0.721,genuine
100,0.76,0.953,0.912,genuine
2000,0.343,0.462,0.141,counterfeit
500,0.882,0.9,0.671,genuine
500,0.793,0.882,0.768,genuine
2000,0.438,0.414,0.272,counterfeit
2000,0.791,0.793,0.754,genuine
100,0.783,0.904,0.985,genuine
100,0.205,0.44,0.254,counterfeit
2000,0.97,0.749,0.83,genuine
2000,0.711,0.842,0.913,genuine
100,0.4,0.278,0.13,counterfeit
2000,0.961,0.849,0.933,genuine
200,0.958,0.732,0.919,genuine
500,0.111,0.388,0.214,counterfeit
100,0.833,0.841,0.99,genuine
500,0.846,0.917,0.892,genuine
500,0.266,0.205,0.24,counterfeit
200,0.707,0.821,0.661,genuine
200,0.857,0.749,0.802,genuine
500,0.148,0.421,0.438,counterfeit
2000,0.906,0.859,0.724,genuine
200,0.951,0.826,0.895,genuine
200,0.266,0.293,0.445,counterfeit
500,0.854,0.74,0.985,genuine
100,0.762,0.912,0.824,genuine
2000,0.431,0.237,0.186,counterfeit
2000,0.964,0.914,0.785,genuine
500,0.734,0.7,0.902,genuine
200,0.44,0.399,0.225,counterfeit
100,0.863,0.733,0.789,genuine
200,0.932,0.871,0.831,genuine
100,0.145,0.122,0.445,counterfeit
500,0.97,0.788,0.731,genuine
100,0.802,0.973,0.693,genuine
100,0.256,0.109,0.38,counterfeit
200,0.813,0.758,0.745,genuine
2000,0.946,0.891,0.865,genuine
2000,0.353,0.142,0.344,counterfeit
200,0.864,0.907,0.836,genuine
200,0.819,0.952,0.8,genuine
2000,0.295,0.238,0.14,counterfeit
500,0.721,0.806,0.913,genuine
100,0.869,0.933,0.937,genuine
200,0.373,0.121,0.372,counterfeit
100,0.907,0.829,0.956,genuine
200,0.833,0.709,0.92,genuine
200,0.258,0.227,0.1,counterfeit
200,0.83,0.715,0.765,genuine
100,0.729,0.872,0.677,genuine
200,0.367,0.438,0.156,counterfeit
200,0.852,0.979,0.876,genuine
100,0.841,0.986,0.787,genuine
500,0.44,0.347,0.444,counterfeit
100,0.952,0.92,0.872,genuine
100,0.812,0.927,0.669,genuine
200,0.378,0.204,0.442,counterfeit
2000,0.827,0.853,0.959,genuine
2000,0.786,0.966,0.792,genuine
2000,0.395,0.286,0.131,counterfeit
200,0.804,0.869,0.988,genuine
200,0.866,0.784,0.768,genuine
100,0.119,0.336,0.435,counterfeit
100,0.83,0.762,0.812,genuine
200,0.808,0.736,0.975,genuine
100,0.4,0.317,0.434,counterfeit
2000,0.728,0.912,0.677,genuine
200,0.775,0.797,0.973,genuine
2000,0.362,0.3,0.181,counterfeit
100,0.826,0.958,0.753,genuine
200,0.765,0.908,0.688,genuine
500,0.415,0.209,0.318,counterfeit
200,0.872,0.747,0.72,genuine
2000,0.927,0.705,0.654,genuine
500,0.386,0.234,0.147,counterfeit
200,0.764,0.958,0.759,genuine
500,0.773,0.914,0.729,genuine
2000,0.44,0.416,0.44,counterfeit
200,0.745,0.958,0.713,genuine
100,0.948,0.756,0.912,genuine
2000,0.325,0.303,0.449,counterfeit
2000,0.931,0.875,0.863,genuine
2000,0.765,0.773,0.971,genuine
100,0.34,0.158,0.154,counterfeit
200,0.9,0.794,0.739,genuine
500,0.739,0.925,0.737,genuine
2000,0.195,0.153,0.137,counterfeit
2000,0.837,0.845,0.947,genuine
500,0.963,0.988,0.658,genuine
200,0.209,0.346,0.339,counterfeit
2000,0.791,0.882,0.972,genuine
100,0.851,0.98,0.725,genuine
2000,0.144,0.246,0.394,counterfeit
200,0.877,0.97,0.901,genuine
2000,0.765,0.724,0.704,genuine
2000,0.237,0.157,0.305,counterfeit
200,0.895,0.902,0.689,genuine
100,0.862,0.857,0.695,genuine
2000,0.108,0.212,0.381,counterfeit
100,0.899,0.817,0.67,genuine
2000,0.968,0.914,0.755,genuine
2000,0.345,0.234,0.169,counterfeit
200,0.766,0.854,0.655,genuine
200,0.752,0.747,0.777,genuine
100,0.439,0.436,0.312,counterfeit
2000,0.956,0.857,0.842,genuine
100,0.861,0.901,0.732,genuine
100,0.242,0.454,0.298,counterfeit
2000,0.741,0.789,0.868,genuine
200,0.971,0.913,0.695,genuine
200,0.152,0.304,0.174,counterfeit
200,0.83,0.841,0.681,genuine
100,0.915,0.775,0.736,genuine
500,0.417,0.267,0.322,counterfeit
200,0.96,0.856,0.932,genuine
200,0.917,0.86,0.984,genuine
200,0.32,0.41,0.232,counterfeit
100,0.814,0.873,0.929,genuine
500,0.958,0.765,0.724,genuine
500,0.31,0.312,0.344,counterfeit
500,0.976,0.873,0.968,genuine
200,0.817,0.775,0.868,genuine
500,0.409,0.19,0.245,counterfeit
100,0.816,0.781,0.851,genuine
100,0.858,0.916,0.817,genuine
2000,0.434,0.295,0.397,counterfeit
2000,0.74,0.764,0.66,genuine
2000,0.793,0.74,0.914,genuine
2000,0.186,0.145,0.473,counterfeit
500,0.853,0.828,0.873,genuine
200,0.865,0.868,0.691,genuine
500,0.156,0.439,0.236,counterfeit
2000,0.895,0.806,0.717,genuine
200,0.815,0.896,0.92,genuine
200,0.123,0.222,0.233,counterfeit
200,0.784,0.923,0.737,genuine
200,0.798,0.829,0.756,genuine
2000,0.379,0.125,0.107,counterfeit
500,0.755,0.902,0.787,genuine
500,0.731,0.856,0.683,genuine
200,0.233,0.395,0.121,counterfeit
100,0.83,0.859,0.89,genuine
500,0.731,0.913,0.829,genuine
500,0.233,0.328,0.39,counterfeit
2000,0.723,0.978,0.746,genuine
200,0.84,0.915,0.982,genuine
100,0.189,0.473,0.302,counterfeit
500,0.864,0.906,0.98,genuine
2000,0.946,0.729,0.842,genuine
500,0.264,0.273,0.248,counterfeit
2000,0.729,0.861,0.773,genuine
2000,0.726,0.956,0.769,genuine
500,0.343,0.456,0.268,counterfeit
2000,0.961,0.779,0.718,genuine
100,0.861,0.784,0.895,genuine
2000,0.274,0.482,0.176,counterfeit
100,0.828,0.864,0.79,genuine
2000,0.768,0.87,0.833,genuine
500,0.395,0.236,0.207,counterfeit
100,0.85,0.776,0.773,genuine
200,0.719,0.907,0.7,genuine
500,0.431,0.396,0.352,counterfeit
500,0.869,0.784,0.795,genuine
500,0.966,0.873,0.81,genuine
200,0.32,0.312,0.215,counterfeit
500,0.824,0.738,0.675,genuine
2000,0.851,0.829,0.773,genuine
200,0.42,0.244,0.238,counterfeit
500,0.933,0.789,0.709,genuine
100,0.898,0.8,0.969,genuine
2000,0.427,0.277,0.294,counterfeit
500,0.876,0.716,0.866,genuine
500,0.927,0.943,0.876,genuine
2000,0.159,0.431,0.195,counterfeit
100,0.918,0.704,0.812,genuine
100,0.705,0.841,0.986,genuine
100,0.11,0.186,0.141,counterfeit
200,0.761,0.924,0.966,genuine
500,0.86,0.893,0.98,genuine
500,0.313,0.456,0.182,counterfeit
500,0.775,0.86,0.939,genuine
100,0.708,0.82,0.854,genuine
100,0.302,0.121,0.244,counterfeit
200,0.758,0.855,0.83,genuine
2000,0.813,0.802,0.831,genuine
200,0.347,0.343,0.344,counterfeit
2000,0.773,0.737,0.842,genuine
100,0.742,0.847,0.781,genuine
2000,0.426,0.475,0.453,counterfeit
100,0.839,0.983,0.952,genuine
2000,0.817,0.759,0.741,genuine
500,0.254,0.156,0.348,counterfeit
500,0.878,0.765,0.882,genuine
100,0.745,0.796,0.798,genuine
200,0.135,0.257,0.123,counterfeit
100,0.725,0.755,0.682,genuine
500,0.949,0.766,0.674,genuine
200,0.249,0.371,0.464,counterfeit
500,0.711,0.96,0.815,genuine
200,0.937,0.943,0.776,genuine
2000,0.215,0.289,0.334,counterfeit
500,0.944,0.816,0.79,genuine
200,0.779,0.75,0.663,genuine
2000,0.268,0.197,0.23,counterfeit
500,0.81,0.935,0.879,genuine
500,0.871,0.826,0.973,genuine
100,0.271,0.351,0.414,counterfeit
2000,0.947,0.747,0.678,genuine
200,0.965,0.822,0.814,genuine
500,0.374,0.464,0.492,counterfeit
500,0.854,0.708,0.741,genuine
2000,0.869,0.949,0.88,genuine
500,0.37,0.104,0.188,counterfeit
2000,0.802,0.741,0.849,genuine
100,0.955,0.801,0.666,genuine
100,0.143,0.19,0.43,counterfeit
100,0.759,0.853,0.668,genuine
2000,0.823,0.824,0.799,genuine
500,0.297,0.217,0.331,counterfeit
200,0.755,0.736,0.783,genuine
100,0.84,0.855,0.878,genuine
500,0.163,0.387,0.245,counterfeit
500,0.904,0.788,0.655,genuine
2000,0.937,0.908,0.687,genuine
500,0.325,0.214,0.281,counterfeit
100,0.75,0.961,0.795,genuine
500,0.963,0.938,0.685,genuine
500,0.419,0.129,0.495,counterfeit
100,0.964,0.765,0.858,genuine
500,0.964,0.772,0.688,genuine
100,0.166,0.466,0.257,counterfeit
2000,0.872,0.727,0.915,genuine
500,0.974,0.942,0.711,genuine
2000,0.127,0.492,0.317,counterfeit
100,0.709,0.817,0.662,genuine
200,0.822,0.757,0.786,genuine
200,0.423,0.264,0.111,counterfeit
100,0.72,0.914,0.875,genuine
200,0.89,0.854,0.913,genuine
100,0.205,0.246,0.474,counterfeit
200,0.803,0.758,0.747,genuine
100,0.908,0.782,0.905,genuine
2000,0.173,0.322,0.43,counterfeit
200,0.929,0.771,0.924,genuine
2000,0.851,0.853,0.723,genuine
100,0.15,0.418,0.483,counterfeit
2000,0.781,0.903,0.846,genuine
200,0.959,0.865,0.8,genuine
200,0.445,0.367,0.355,counterfeit
2000,0.756,0.873,0.893,genuine
200,0.716,0.719,0.717,genuine
2000,0.115,0.388,0.449,counterfeit
100,0.772,0.867,0.84,genuine
500,0.753,0.883,0.688,genuine
100,0.162,0.422,0.354,counterfeit
100,0.795,0.952,0.837,genuine
500,0.712,0.98,0.771,genuine
200,0.401,0.193,0.272,counterfeit
100,0.807,0.959,0.889,genuine
2000,0.918,0.892,0.766,genuine
500,0.406,0.399,0.152,counterfeit
200,0.811,0.852,0.803,genuine
2000,0.823,0.807,0.915,genuine
200,0.4,0.155,0.237,counterfeit
500,0.727,0.986,0.684,genuine
500,0.758,0.877,0.788,genuine
200,0.276,0.287,0.332,counterfeit
200,0.921,0.775,0.956,genuine
2000,0.903,0.903,0.748,genuine
100,0.33,0.473,0.461,counterfeit
100,0.979,0.715,0.962,genuine
100,0.737,0.928,0.688,genuine
200,0.446,0.207,0.327,counterfeit
2000,0.726,0.752,0.958,genuine
100,0.942,0.885,0.719,genuine
100,0.127,0.348,0.146,counterfeit
100,0.764,0.902,0.846,genuine
100,0.764,0.769,0.878,genuine
500,0.222,0.479,0.37,counterfeit
100,0.797,0.929,0.671,genuine
100,0.963,0.827,0.768,genuine
200,0.447,0.148,0.389,counterfeit
2000,0.916,0.933,0.859,genuine
100,0.84,0.914,0.823,genuine
200,0.408,0.24,0.187,counterfeit
2000,0.831,0.894,0.775,genuine
500,0.757,0.843,0.67,genuine
500,0.165,0.46,0.176,counterfeit
2000,0.783,0.771,0.849,genuine
100,0.836,0.87,0.793,genuine
100,0.34,0.119,0.489,counterfeit
100,0.785,0.703,0.985,genuine
200,0.901,0.837,0.803,genuine
500,0.23,0.347,0.466,counterfeit
500,0.934,0.718,0.724,genuine
2000,0.716,0.941,0.703,genuine
200,0.208,0.289,0.264,counterfeit
500,0.922,0.816,0.859,genuine
200,0.897,0.806,0.909,genuine
200,0.351,0.473,0.319,counterfeit
2000,0.885,0.809,0.961,genuine
2000,0.799,0.946,0.725,genuine
200,0.302,0.46,0.461,counterfeit
100,0.945,0.831,0.667,genuine
2000,0.824,0.967,0.776,genuine
500,0.323,0.182,0.384,counterfeit
200,0.939,0.792,0.711,genuine
500,0.763,0.988,0.816,genuine
100,0.138,0.189,0.478,counterfeit
2000,0.813,0.701,0.682,genuine
